underlying,run_id,track,dir,days,n_legs,pnl_parity,pnl_native
SOL_USDC,SOL_USDC-0078,opt_delta,-1,16,0,0.0,0.0
SOL_USDC,SOL_USDC-0078,opt_budget,-1,16,0,0.0,0.0
SOL_USDC,SOL_USDC-0079,opt_delta,-1,3,1,-9143.672098608591,-9588.279348938586
SOL_USDC,SOL_USDC-0079,opt_budget,-1,3,1,-5947.959823926912,-6237.176894896912
SOL_USDC,SOL_USDC-0080,opt_delta,-1,11,1,-60825.49578477778,-61303.50145488777
SOL_USDC,SOL_USDC-0080,opt_budget,-1,11,1,-37195.658889662365,-37487.96617993237
SOL_USDC,SOL_USDC-0081,opt_delta,1,16,0,0.0,0.0
SOL_USDC,SOL_USDC-0081,opt_budget,1,16,0,0.0,0.0
SOL_USDC,SOL_USDC-0082,opt_delta,-1,4,1,-63914.41343680078,-64236.96401182078
SOL_USDC,SOL_USDC-0082,opt_budget,-1,4,1,-26281.185336474857,-26413.816005954857
SOL_USDC,SOL_USDC-0083,opt_delta,-1,15,0,0.0,0.0
SOL_USDC,SOL_USDC-0083,opt_budget,-1,15,0,0.0,0.0
SOL_USDC,SOL_USDC-0084,opt_delta,-1,22,1,-45208.68361507542,-45528.193213715414
SOL_USDC,SOL_USDC-0084,opt_budget,-1,22,1,-22494.69123778676,-22653.67108841676
SOL_USDC,SOL_USDC-0085,opt_delta,1,12,1,-49253.895579191034,-49512.39440798103
SOL_USDC,SOL_USDC-0085,opt_budget,1,12,1,-27804.222606287334,-27950.147286857333
SOL_USDC,SOL_USDC-0086,opt_delta,1,2,0,0.0,0.0
SOL_USDC,SOL_USDC-0086,opt_budget,1,2,0,0.0,0.0
SOL_USDC,SOL_USDC-0087,opt_delta,-1,1,0,0.0,0.0
SOL_USDC,SOL_USDC-0087,opt_budget,-1,1,0,0.0,0.0
SOL_USDC,SOL_USDC-0088,opt_delta,1,22,0,0.0,0.0
SOL_USDC,SOL_USDC-0088,opt_budget,1,22,0,0.0,0.0
SOL_USDC,SOL_USDC-0089,opt_delta,1,35,2,351962.5356435797,351592.10727849964
SOL_USDC,SOL_USDC-0089,opt_budget,1,35,2,278681.6628567003,278539.1986942803
SOL_USDC,SOL_USDC-0090,opt_delta,1,2,0,0.0,0.0
SOL_USDC,SOL_USDC-0090,opt_budget,1,2,0,0.0,0.0
SOL_USDC,SOL_USDC-0091,opt_delta,-1,16,0,0.0,0.0
SOL_USDC,SOL_USDC-0091,opt_budget,-1,16,0,0.0,0.0
SOL_USDC,SOL_USDC-0092,opt_delta,1,2,1,-52197.83641951183,-52457.503885131824
SOL_USDC,SOL_USDC-0092,opt_budget,1,2,1,-26535.068332809195,-26667.071772369196
SOL_USDC,SOL_USDC-0093,opt_delta,-1,8,1,-33989.64159726866,-34520.08483777866
SOL_USDC,SOL_USDC-0093,opt_budget,-1,8,1,-21294.678197935118,-21627.003505835117
SOL_USDC,SOL_USDC-0094,opt_delta,1,14,1,-114791.41937400783,-115030.01715059784
SOL_USDC,SOL_USDC-0094,opt_budget,1,14,1,-43864.984274456496,-43956.15910073649
SOL_USDC,SOL_USDC-0095,opt_delta,-1,47,2,113969.93609230703,113662.06744111702
SOL_USDC,SOL_USDC-0095,opt_budget,-1,47,2,52354.03993666814,52192.93530948814
SOL_USDC,SOL_USDC-0096,opt_delta,-1,17,1,-5296.303771638512,-5701.186654288508
SOL_USDC,SOL_USDC-0096,opt_budget,-1,17,1,-2977.5624447362575,-3205.1861079262603
SOL_USDC,SOL_USDC-0097,opt_delta,1,41,1,16851.394677009954,16851.394677009954
SOL_USDC,SOL_USDC-0097,opt_budget,1,41,1,7565.542339552333,7565.542339552333
SOL_USDC,SOL_USDC-0098,opt_delta,-1,9,1,-29285.678477925932,-29563.733253165934
SOL_USDC,SOL_USDC-0098,opt_budget,-1,9,1,-14755.177276411154,-14895.271264821155
SOL_USDC,SOL_USDC-0099,opt_delta,-1,17,1,-55552.25321104574,-56014.81623812574
SOL_USDC,SOL_USDC-0099,opt_budget,-1,17,1,-31249.925269096093,-31510.131816866095
SOL_USDC,SOL_USDC-0100,opt_delta,-1,1,0,0.0,0.0
SOL_USDC,SOL_USDC-0100,opt_budget,-1,1,0,0.0,0.0
SOL_USDC,SOL_USDC-0101,opt_delta,-1,2,1,-15406.208898854919,-15706.383220354921
SOL_USDC,SOL_USDC-0101,opt_budget,-1,2,1,-11280.179975239851,-11499.962816879852
SOL_USDC,SOL_USDC-0102,opt_delta,1,26,0,0.0,0.0
SOL_USDC,SOL_USDC-0102,opt_budget,1,26,0,0.0,0.0
SOL_USDC,SOL_USDC-0103,opt_delta,-1,2,1,-19839.992846906654,-20142.934697306653
SOL_USDC,SOL_USDC-0103,opt_budget,-1,2,1,-14339.83557746628,-14558.794140496278
SOL_USDC,SOL_USDC-0104,opt_delta,1,11,1,-20973.84454602946,-21254.985892859462
SOL_USDC,SOL_USDC-0104,opt_budget,1,11,1,-16563.37786541721,-16785.39964835721
