budget,dte_band,moneyness,spread_mult,h1_total,spot_total,h1_beats_spot
0.15,"(20, 40)",0.1,3.0,2160696.3344040476,1244140.7484327296,True
0.05,"(30, 60)",0.05,1.0,1383717.763084308,1244140.7484327296,True
0.1,"(30, 60)",0.05,1.0,1589665.756192524,1244140.7484327296,True
0.15,"(30, 60)",0.05,1.0,1795613.7493007397,1244140.7484327296,True
0.05,"(30, 60)",0.05,2.0,1367973.6845992177,1244140.7484327296,True
0.1,"(30, 60)",0.05,2.0,1558177.5992223434,1244140.7484327296,True
0.15,"(30, 60)",0.05,2.0,1748381.5138454689,1244140.7484327296,True
0.05,"(30, 60)",0.05,3.0,1352418.2320176119,1244140.7484327296,True
0.1,"(30, 60)",0.05,3.0,1527066.6940591317,1244140.7484327296,True
0.15,"(30, 60)",0.05,3.0,1701715.1561006515,1244140.7484327296,True
0.05,"(30, 60)",0.075,1.0,1351957.7909444517,1244140.7484327296,True
0.1,"(30, 60)",0.075,1.0,1526145.8119128114,1244140.7484327296,True
0.15,"(30, 60)",0.075,1.0,1700333.832881171,1244140.7484327296,True
0.05,"(30, 60)",0.075,2.0,1336470.2990963801,1244140.7484327296,True
0.1,"(30, 60)",0.075,2.0,1495170.8282166682,1244140.7484327296,True
0.15,"(30, 60)",0.075,2.0,1653871.3573369565,1244140.7484327296,True
0.05,"(30, 60)",0.075,3.0,1321168.3590508683,1244140.7484327296,True
0.1,"(30, 60)",0.075,3.0,1464566.9481256446,1244140.7484327296,True
0.15,"(30, 60)",0.075,3.0,1607965.5372004206,1244140.7484327296,True
0.05,"(30, 60)",0.1,1.0,1490508.770336251,1244140.7484327296,True
0.1,"(30, 60)",0.1,1.0,1803247.77069641,1244140.7484327296,True
0.15,"(30, 60)",0.1,1.0,2115986.7710565687,1244140.7484327296,True
0.05,"(30, 60)",0.1,2.0,1474380.7613342053,1244140.7484327296,True
0.1,"(30, 60)",0.1,2.0,1770991.7526923185,1244140.7484327296,True
0.15,"(30, 60)",0.1,2.0,2067602.7440504315,1244140.7484327296,True
0.05,"(30, 60)",0.1,3.0,1458445.9780120428,1244140.7484327296,True
0.1,"(30, 60)",0.1,3.0,1739122.1860479936,1244140.7484327296,True
0.15,"(30, 60)",0.1,3.0,2019798.3940839441,1244140.7484327296,True
