underlying,run_id,track,dir,spot_pnl,mode_a_pnl,mode_a_legs,mode_b_pnl,mode_b_coverage_skip,mode_a_skip_reason
BTC,BTC-0051,opt_delta,1,-2516.4456935329154,-40524.694237031144,1,-44285.56818675873,False,
BTC,BTC-0051,opt_budget,1,-2516.4456935329154,-28476.446532237464,1,-31119.188888724846,False,
BTC,BTC-0052,opt_delta,1,-11199.483321247299,-13307.068855825302,1,-15192.991383851197,False,
BTC,BTC-0052,opt_budget,1,-11199.483321247299,-20889.07145236156,1,-23849.54087416858,False,
BTC,BTC-0053,opt_delta,-1,-8274.569994640182,-14642.165923804794,1,-18376.499260289344,False,
BTC,BTC-0053,opt_budget,-1,-8274.569994640182,-16131.680613285573,1,-20245.89930205045,False,
BTC,BTC-0054,opt_delta,-1,-909.4812713131223,4046.1861080537947,1,38.220256407983015,False,
BTC,BTC-0054,opt_budget,-1,-909.4812713131223,10566.04783284802,1,99.80684195089634,False,
BTC,BTC-0055,opt_delta,-1,36807.08914909236,52248.20937517301,2,53665.55396935651,False,
BTC,BTC-0055,opt_budget,-1,36807.08914909236,83209.94667185417,2,86386.48620627192,False,
BTC,BTC-0056,opt_delta,-1,-540.9091987379599,6304.54814501998,1,2208.0414719456417,False,
BTC,BTC-0056,opt_budget,-1,-540.9091987379599,11157.890201426391,1,3907.8271332778068,False,
BTC,BTC-0057,opt_delta,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0057,opt_budget,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0058,opt_delta,-1,-14913.277909991672,-14665.190665107373,1,-17494.624277915227,False,
BTC,BTC-0058,opt_budget,-1,-14913.277909991672,-18789.717715723124,1,-22414.9183758503,False,
BTC,BTC-0059,opt_delta,1,-20960.882384362118,-7842.329017981188,1,-11421.682136491036,False,
BTC,BTC-0059,opt_budget,1,-20960.882384362118,-9967.046195594452,1,-14516.151161827616,False,
BTC,BTC-0060,opt_delta,1,252796.6403666399,179069.19177572176,3,179069.19177572173,False,
BTC,BTC-0060,opt_budget,1,252796.6403666399,166775.56663118995,3,166775.5666311899,False,
BTC,BTC-0061,opt_delta,-1,-5568.690315203642,-20227.166019245065,1,-17937.95460699345,False,
BTC,BTC-0061,opt_budget,-1,-5568.690315203642,-31053.273605170274,1,-27538.816451009774,False,
BTC,BTC-0062,opt_delta,1,259930.53131770555,469869.6001936028,3,471221.7679749704,False,
BTC,BTC-0062,opt_budget,1,259930.53131770555,429747.0055680432,3,430397.78892132454,False,
BTC,BTC-0063,opt_delta,1,-16461.980956103198,-34304.536650623246,1,-37901.60308971588,False,
BTC,BTC-0063,opt_budget,1,-16461.980956103198,-25597.0528723115,1,-28281.079791678105,False,
BTC,BTC-0064,opt_delta,-1,-46537.00853194422,-39591.254544719806,1,-44198.62147855149,False,
BTC,BTC-0064,opt_budget,-1,-46537.00853194422,-28707.963815721323,1,-32048.80574516281,False,
BTC,BTC-0065,opt_delta,-1,2527.9972168319237,-7127.777236393864,1,12109.789230975359,False,
BTC,BTC-0065,opt_budget,-1,2527.9972168319237,-3980.940726911791,1,6763.448343722022,False,
BTC,BTC-0066,opt_delta,-1,-32462.594551333696,-26090.849099648436,1,-30909.659264143414,False,
BTC,BTC-0066,opt_budget,-1,-32462.594551333696,-25520.267711122804,1,-30233.695203547675,False,
BTC,BTC-0067,opt_delta,1,1933.8546177307235,-19184.0240211616,2,-20131.03486080487,False,
BTC,BTC-0067,opt_budget,1,1933.8546177307235,-17046.806805253393,2,-17885.295525749716,False,
BTC,BTC-0068,opt_delta,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0068,opt_budget,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0069,opt_delta,-1,11943.974602674247,-7837.154536445712,1,0.0,True,
BTC,BTC-0069,opt_budget,-1,11943.974602674247,-6686.612823762378,1,0.0,True,
BTC,BTC-0070,opt_delta,1,-10833.05216772615,-18981.165697917102,1,-21485.36367413745,False,
BTC,BTC-0070,opt_budget,1,-10833.05216772615,-20635.932973079256,1,-23358.445510561312,False,
BTC,BTC-0071,opt_delta,-1,-94866.40136003999,-59700.280884653985,1,-58619.27492089612,False,
BTC,BTC-0071,opt_budget,-1,-94866.40136003999,-47967.3176934504,1,-47098.763044733205,False,
BTC,BTC-0072,opt_delta,1,-31346.631462258487,-38541.07022258807,1,-37640.17448014808,False,
BTC,BTC-0072,opt_budget,1,-31346.631462258487,-34102.50330364158,1,-33305.35885862848,False,
BTC,BTC-0073,opt_delta,-1,-14395.489253194675,-25862.02460576146,1,-27817.92260885712,False,
BTC,BTC-0073,opt_budget,-1,-14395.489253194675,-26654.444139677234,1,-28670.271394547504,False,
BTC,BTC-0074,opt_delta,-1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0074,opt_budget,-1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0075,opt_delta,1,-18486.68061254916,-22588.050398350322,1,-24369.25221814622,False,
BTC,BTC-0075,opt_budget,1,-18486.68061254916,-17091.284800890437,1,-18439.034033476677,False,
BTC,BTC-0076,opt_delta,1,-15458.874414583344,-26416.500198094756,1,-25568.733222958486,False,
BTC,BTC-0076,opt_budget,1,-15458.874414583344,-18248.29824189738,1,-17662.667878832348,False,
BTC,BTC-0077,opt_delta,1,272222.70662445796,480398.46557874646,3,0.0,True,
BTC,BTC-0077,opt_budget,1,272222.70662445796,510992.9653726435,3,0.0,True,
BTC,BTC-0078,opt_delta,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0078,opt_budget,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0079,opt_delta,1,-19177.373642160223,-16888.84950045487,1,-14608.778833714165,False,
BTC,BTC-0079,opt_budget,1,-19177.373642160223,-12020.932693605218,1,-10398.052696905894,False,
BTC,BTC-0080,opt_delta,-1,-23981.54871909264,-13464.179143223275,1,-24162.489829066875,False,
BTC,BTC-0080,opt_budget,-1,-23981.54871909264,-9746.449720359204,1,-17490.742638864922,False,
BTC,BTC-0081,opt_delta,1,-36423.90699600002,-22280.167713859562,1,-21010.27756490317,False,
BTC,BTC-0081,opt_budget,1,-36423.90699600002,-16425.376177625338,1,-15489.188278649423,False,
BTC,BTC-0082,opt_delta,-1,-11378.773367983144,-5687.703673415728,1,-11511.023576137295,False,
BTC,BTC-0082,opt_budget,-1,-11378.773367983144,-6874.279073647645,1,-13912.466793155589,False,
BTC,BTC-0083,opt_delta,1,-31875.713371734553,-40593.19745033459,1,-40271.21159660719,False,
BTC,BTC-0083,opt_budget,1,-31875.713371734553,-36156.80083305368,1,-35870.00454413048,False,
BTC,BTC-0084,opt_delta,-1,45725.52085016872,22535.82697386006,3,22728.626458647625,False,
BTC,BTC-0084,opt_budget,-1,45725.52085016872,22078.2134933942,3,22389.319229386034,False,
BTC,BTC-0085,opt_delta,-1,-351.75487371457984,5287.0069336563065,1,5783.700085956425,False,
BTC,BTC-0085,opt_budget,-1,-351.75487371457984,5225.553808374674,1,5716.4736853797385,False,
BTC,BTC-0086,opt_delta,-1,-9495.104972581243,-16260.250684976381,1,-16480.956175254025,False,
BTC,BTC-0086,opt_budget,-1,-9495.104972581243,-17646.994022101855,1,-17886.52221530327,False,
BTC,BTC-0087,opt_delta,1,118018.89359226983,128845.35198516531,2,125218.82446422853,False,
BTC,BTC-0087,opt_budget,1,118018.89359226983,94898.43010205512,2,89955.99674654442,False,
BTC,BTC-0088,opt_delta,1,-11345.608211395776,-8417.594392617695,1,-6521.963432655033,False,
BTC,BTC-0088,opt_budget,1,-11345.608211395776,-7002.523375852143,1,-5425.564509698044,False,
BTC,BTC-0089,opt_delta,-1,-26413.667672244323,-19144.505036138784,1,-20537.424077274944,False,
BTC,BTC-0089,opt_budget,-1,-26413.667672244323,-20325.191945832823,1,-21804.01559902495,False,
BTC,BTC-0090,opt_delta,1,27766.855045618006,24464.946400620865,2,25478.443788454635,False,
BTC,BTC-0090,opt_budget,1,27766.855045618006,27713.997419098232,2,28845.696026948124,False,
BTC,BTC-0091,opt_delta,1,-6324.667946868118,-3224.2255517630256,1,-5379.518144028138,False,
BTC,BTC-0091,opt_budget,1,-6324.667946868118,-6073.1485780567455,1,-10132.8559192053,False,
BTC,BTC-0092,opt_delta,-1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0092,opt_budget,-1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0093,opt_delta,-1,5164.412110878639,4756.950622197037,1,3661.6802957500986,False,
BTC,BTC-0093,opt_budget,-1,5164.412110878639,7501.722597419157,1,5774.478652558784,False,
BTC,BTC-0094,opt_delta,-1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0094,opt_budget,-1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0095,opt_delta,1,-12333.184617001003,0.0,0,0.0,False,no_option_entry
BTC,BTC-0095,opt_budget,1,-12333.184617001003,0.0,0,0.0,False,no_option_entry
BTC,BTC-0096,opt_delta,-1,-22459.193779453908,-21295.586656240535,1,-21011.514096043193,False,
BTC,BTC-0096,opt_budget,-1,-22459.193779453908,-31582.549172079336,1,-31161.2536357931,False,
BTC,BTC-0097,opt_delta,1,-48004.83028144139,-31167.04011669659,1,-30183.15453370617,False,
BTC,BTC-0097,opt_budget,1,-48004.83028144139,-35118.90407870856,1,-34010.26548857968,False,
BTC,BTC-0098,opt_delta,-1,-30196.89207317314,-28792.013136177728,1,-29949.786792572646,False,
BTC,BTC-0098,opt_budget,-1,-30196.89207317314,-33868.90108104718,1,-35230.824655380726,False,
BTC,BTC-0099,opt_delta,-1,83797.49458812752,98912.11921905956,3,100253.75865020932,False,
BTC,BTC-0099,opt_budget,-1,83797.49458812752,79492.5986418585,3,82030.84569957046,False,
BTC,BTC-0100,opt_delta,1,-29823.05891108777,-33478.0647993507,1,-33420.78554477304,False,
