start,dir,days,spot,opt_delta,opt_budget,bucket
2023-05-05,1,4,-32228.124761957937,-22125.362896337338,-30840.65832270634,<8d
2023-05-10,-1,20,-3228.085948572645,-31527.85687452908,-33033.978827691906,8-30d
2023-06-01,-1,3,-5712.889309929063,-7159.242777305376,-8926.353598194586,<8d
2023-06-05,-1,14,-12674.869805478529,7408.638902944651,9227.343799172697,8-30d
2023-06-22,1,29,-2516.445693532915,-40524.694237031144,-28476.446532237464,8-30d
2023-07-22,1,3,-11199.483321247299,-13307.068855825302,-20889.07145236156,<8d
2023-07-26,-1,14,-8274.569994640182,-14642.165923804794,-16131.680613285573,8-30d
2023-08-12,-1,3,-909.4812713131223,4046.1861080537947,10566.04783284802,<8d
2023-08-16,-1,30,36807.08914909237,52248.20937517301,83209.94667185417,8-30d
2023-09-16,-1,2,-540.9091987379599,6304.54814501998,11157.890201426391,<8d
2023-09-25,-1,4,-14913.277909991672,-14665.190665107373,-18789.717715723124,<8d
2023-10-01,1,11,-20960.882384362118,-7842.329017981188,-9967.046195594452,8-30d
2023-10-17,1,89,252796.6403666399,179069.19177572176,166775.56663118995,>30d
2024-01-20,-1,9,-5568.690315203643,-20227.166019245065,-31053.273605170274,8-30d
2024-02-03,1,60,259930.53131770552,469869.6001936028,429747.0055680432,>30d
2024-04-05,1,10,-16461.980956103194,-34304.536650623246,-25597.0528723115,8-30d
2024-04-17,-1,6,-46537.008531944215,-39591.254544719806,-28707.963815721323,<8d
2024-04-25,-1,11,2527.9972168319237,-7127.777236393864,-3980.940726911791,8-30d
2024-05-07,-1,9,-32462.594551333692,-26090.849099648436,-25520.267711122804,8-30d
2024-05-18,1,25,1933.8546177307253,-19184.0240211616,-17046.806805253393,8-30d
2024-06-17,-1,29,11943.974602674247,-7837.154536445712,-6686.612823762378,8-30d
2024-07-19,1,14,-10833.052167726151,-18981.165697917102,-20635.932973079256,8-30d
2024-08-05,-1,19,-94866.40136003999,-59700.280884653985,-47967.3176934504,8-30d
2024-08-26,1,3,-31346.631462258487,-38541.07022258807,-34102.50330364158,<8d
2024-08-31,-1,14,-14395.489253194675,-25862.02460576146,-26654.444139677234,8-30d
2024-09-19,1,15,-18486.68061254916,-22588.050398350322,-17091.284800890437,8-30d
2024-10-05,1,6,-15458.874414583343,-26416.500198094756,-18248.29824189738,<8d
2024-10-12,1,70,272222.7066244579,480398.46557874646,510992.9653726435,>30d
2024-12-25,1,2,-19177.373642160223,-16888.84950045487,-12020.932693605218,<8d
2024-12-30,-1,4,-23981.54871909264,-13464.179143223275,-9746.449720359204,<8d
2025-01-06,1,3,-36423.90699600002,-22280.167713859562,-16425.376177625338,<8d
2025-01-11,-1,4,-11378.773367983142,-5687.703673415728,-6874.279073647645,<8d
2025-01-17,1,17,-31875.713371734557,-40593.19745033459,-36156.80083305368,8-30d
2025-02-07,-1,46,45725.52085016873,22535.82697386006,22078.2134933942,>30d
2025-03-29,-1,5,-351.75487371457893,5287.0069336563065,5225.553808374674,<8d
2025-04-04,-1,9,-9495.10497258124,-16260.250684976381,-17646.994022101855,8-30d
2025-04-20,1,56,118018.89359226983,128845.35198516531,94898.43010205512,>30d
2025-06-16,1,2,-11345.608211395776,-8417.594392617695,-7002.523375852143,<8d
2025-06-22,-1,3,-26413.667672244326,-19144.505036138784,-20325.191945832823,<8d
2025-06-27,1,36,27766.855045618002,24464.946400620865,27713.997419098232,>30d
2025-08-07,1,12,-6324.667946868118,-3224.2255517630256,-6073.1485780567455,8-30d
2025-08-24,-1,16,5164.412110878639,4756.950622197037,7501.722597419157,8-30d
2025-09-14,1,9,-12333.184617001003,0.0,0.0,8-30d
2025-09-26,-1,4,-22459.193779453908,-21295.586656240535,-31582.549172079336,<8d
2025-10-03,1,9,-48004.83028144139,-31167.04011669659,-35118.90407870856,8-30d
2025-10-16,-1,11,-30196.89207317314,-28792.013136177728,-33868.90108104718,8-30d
2025-10-30,-1,65,83797.49458812753,98912.11921905956,79492.5986418585,>30d
2026-01-06,1,15,-29823.05891108777,-33478.0647993507,-48552.518750877236,8-30d
2026-01-25,-1,39,79076.70256418671,144208.22993985756,99346.31133686985,>30d
2026-03-07,-1,4,-21028.151099864008,-19178.289061391843,-17438.086157341655,<8d
2026-03-17,1,3,-27955.159676574956,-27707.10007559852,-24095.340248290326,<8d
2026-03-23,-1,3,-3848.5464388545847,-28800.59458671763,-21917.68806305414,<8d
2026-03-27,-1,11,-19767.269967076227,-23004.193871339867,-23349.358932061514,8-30d
2026-04-10,1,38,29294.119408085277,15430.722107868729,17192.467378476133,>30d
2026-05-24,-1,2,-2870.5338752081857,-8578.921860184822,-10454.976644981409,<8d
2026-05-27,-1,35,105224.41992997247,191392.49394124962,242966.00322570253,>30d
