,equity
2024-06-05 00:00:00+00:00,722527.1998229031
2024-06-06 00:00:00+00:00,725917.3584671938
2024-06-07 00:00:00+00:00,729837.5537136919
2024-06-08 00:00:00+00:00,732658.1173425575
2024-06-09 00:00:00+00:00,732005.8313721978
2024-06-10 00:00:00+00:00,732011.537010965
2024-06-11 00:00:00+00:00,733038.1263177306
2024-06-12 00:00:00+00:00,734204.795904036
2024-06-13 00:00:00+00:00,737044.2231118144
2024-06-14 00:00:00+00:00,737835.6369985715
2024-06-15 00:00:00+00:00,738965.0777029191
2024-06-16 00:00:00+00:00,740243.9596788683
2024-06-17 00:00:00+00:00,740131.565499362
2024-06-18 00:00:00+00:00,738468.0980145507
2024-06-19 00:00:00+00:00,739191.4812703136
2024-06-20 00:00:00+00:00,740204.1695501792
2024-06-21 00:00:00+00:00,739276.7020480692
2024-06-22 00:00:00+00:00,741060.0178542479
2024-06-23 00:00:00+00:00,737161.0714393167
2024-06-24 00:00:00+00:00,723689.6949537592
2024-06-25 00:00:00+00:00,731140.9867282859
2024-06-26 00:00:00+00:00,726586.2429846597
2024-06-27 00:00:00+00:00,730480.9904076029
2024-06-28 00:00:00+00:00,724046.0371990027
2024-06-29 00:00:00+00:00,724046.0371990027
2024-06-30 00:00:00+00:00,724046.0371990027
2024-07-01 00:00:00+00:00,724046.0371990027
2024-07-02 00:00:00+00:00,726228.2060448108
2024-07-03 00:00:00+00:00,723944.4585307154
2024-07-04 00:00:00+00:00,714186.5090446619
2024-07-05 00:00:00+00:00,711959.956501978
2024-07-06 00:00:00+00:00,717953.4140005436
2024-07-07 00:00:00+00:00,710481.2396297334
2024-07-08 00:00:00+00:00,713084.2545550687
2024-07-09 00:00:00+00:00,718073.8755361806
2024-07-10 00:00:00+00:00,718578.2796933551
2024-07-11 00:00:00+00:00,718270.4841295199
2024-07-12 00:00:00+00:00,721351.5490095391
2024-07-13 00:00:00+00:00,725716.4756033933
2024-07-14 00:00:00+00:00,727140.6452395185
2024-07-15 00:00:00+00:00,727871.535091786
2024-07-16 00:00:00+00:00,727144.6151129091
2024-07-17 00:00:00+00:00,727961.3785591109
2024-07-18 00:00:00+00:00,732193.9471616724
2024-07-19 00:00:00+00:00,727699.1774188697
2024-07-20 00:00:00+00:00,726600.2170999036
2024-07-21 00:00:00+00:00,722127.4260997892
2024-07-22 00:00:00+00:00,725655.9715414732
2024-07-23 00:00:00+00:00,731457.141461861
2024-07-24 00:00:00+00:00,735780.4619809733
2024-07-25 00:00:00+00:00,736633.8722483912
2024-07-26 00:00:00+00:00,727661.610123771
2024-07-27 00:00:00+00:00,727661.610123771
2024-07-28 00:00:00+00:00,727661.610123771
2024-07-29 00:00:00+00:00,727661.610123771
2024-07-30 00:00:00+00:00,727661.610123771
2024-07-31 00:00:00+00:00,727661.610123771
2024-08-01 00:00:00+00:00,727661.610123771
2024-08-02 00:00:00+00:00,724476.6324460314
2024-08-03 00:00:00+00:00,722581.7645597623
2024-08-04 00:00:00+00:00,714716.8311892445
2024-08-05 00:00:00+00:00,697338.2808879223
2024-08-06 00:00:00+00:00,706869.7831054451
2024-08-07 00:00:00+00:00,704703.6433314048
2024-08-08 00:00:00+00:00,722353.6368607606
2024-08-09 00:00:00+00:00,723527.6652851121
2024-08-10 00:00:00+00:00,724863.3189428498
2024-08-11 00:00:00+00:00,719173.3759292585
2024-08-12 00:00:00+00:00,720973.076775055
2024-08-13 00:00:00+00:00,724977.1573098962
2024-08-14 00:00:00+00:00,721453.4660754717
2024-08-15 00:00:00+00:00,718338.697137668
2024-08-16 00:00:00+00:00,724459.3436204512
2024-08-17 00:00:00+00:00,727275.0956196808
2024-08-18 00:00:00+00:00,723497.3649393406
2024-08-19 00:00:00+00:00,727871.9049366375
2024-08-20 00:00:00+00:00,727041.8239185094
2024-08-21 00:00:00+00:00,734588.3868365897
2024-08-22 00:00:00+00:00,733066.3549475272
2024-08-23 00:00:00+00:00,742514.8394952279
2024-08-24 00:00:00+00:00,743777.5635049249
2024-08-25 00:00:00+00:00,744834.8134247111
2024-08-26 00:00:00+00:00,745020.856091052
2024-08-27 00:00:00+00:00,732528.9814019073
2024-08-28 00:00:00+00:00,730556.3467534303
2024-08-29 00:00:00+00:00,732371.050506794
2024-08-30 00:00:00+00:00,731042.8966376323
2024-08-31 00:00:00+00:00,731042.8966376323
2024-09-01 00:00:00+00:00,731042.8966376323
2024-09-02 00:00:00+00:00,729548.7172631093
2024-09-03 00:00:00+00:00,730305.2814475949
2024-09-04 00:00:00+00:00,728923.4033599375
2024-09-05 00:00:00+00:00,728277.9268386522
2024-09-06 00:00:00+00:00,723339.1855455046
2024-09-07 00:00:00+00:00,725518.5769503422
2024-09-08 00:00:00+00:00,726340.0448306907
2024-09-09 00:00:00+00:00,730994.2174468024
2024-09-10 00:00:00+00:00,732584.4822260105
2024-09-11 00:00:00+00:00,734872.8081414019
2024-09-12 00:00:00+00:00,737036.1330226269
2024-09-13 00:00:00+00:00,737865.4011686508
2024-09-14 00:00:00+00:00,740134.2672600544
2024-09-15 00:00:00+00:00,740275.082861079
2024-09-16 00:00:00+00:00,740453.5325927834
2024-09-17 00:00:00+00:00,740878.917773699
2024-09-18 00:00:00+00:00,739585.2335916646
2024-09-19 00:00:00+00:00,737714.4769940206
2024-09-20 00:00:00+00:00,737751.1183978532
2024-09-21 00:00:00+00:00,738517.555071305
2024-09-22 00:00:00+00:00,737490.1247839604
2024-09-23 00:00:00+00:00,739171.2501055206
2024-09-24 00:00:00+00:00,735445.2731584953
2024-09-25 00:00:00+00:00,741914.9937822048
2024-09-26 00:00:00+00:00,730567.3523337038
2024-09-27 00:00:00+00:00,727079.0032800315
2024-09-28 00:00:00+00:00,727079.0032800315
2024-09-29 00:00:00+00:00,727079.0032800315
2024-09-30 00:00:00+00:00,727079.0032800315
2024-10-01 00:00:00+00:00,727079.0032800315
2024-10-02 00:00:00+00:00,724436.8821989645
2024-10-03 00:00:00+00:00,725296.5454126156
2024-10-04 00:00:00+00:00,726510.81046046
2024-10-05 00:00:00+00:00,725977.3882428773
2024-10-06 00:00:00+00:00,725038.8927279545
2024-10-07 00:00:00+00:00,725345.5536013311
2024-10-08 00:00:00+00:00,727846.6168764716
2024-10-09 00:00:00+00:00,727502.4858876234
2024-10-10 00:00:00+00:00,730543.1414741845
2024-10-11 00:00:00+00:00,732718.3076785966
2024-10-12 00:00:00+00:00,731328.6213423095
2024-10-13 00:00:00+00:00,731103.8192598596
2024-10-14 00:00:00+00:00,727757.2203181288
2024-10-15 00:00:00+00:00,726734.6694603969
2024-10-16 00:00:00+00:00,726225.3042267956
2024-10-17 00:00:00+00:00,728957.0060814552
2024-10-18 00:00:00+00:00,726874.1132211186
2024-10-19 00:00:00+00:00,728598.1462911895
2024-10-20 00:00:00+00:00,726564.3745464339
2024-10-21 00:00:00+00:00,731021.4710412263
2024-10-22 00:00:00+00:00,731217.1060100654
2024-10-23 00:00:00+00:00,733214.4218159833
2024-10-24 00:00:00+00:00,729562.5450002454
2024-10-25 00:00:00+00:00,734104.9455045217
2024-10-26 00:00:00+00:00,734326.3579442897
2024-10-27 00:00:00+00:00,732772.818108644
2024-10-28 00:00:00+00:00,726682.6403685706
2024-10-29 00:00:00+00:00,715284.8500738562
2024-10-30 00:00:00+00:00,716680.8102667511
2024-10-31 00:00:00+00:00,725615.6738269967
2024-11-01 00:00:00+00:00,728964.5658532211
2024-11-02 00:00:00+00:00,728484.3608675711
2024-11-03 00:00:00+00:00,729042.6373611118
2024-11-04 00:00:00+00:00,733627.2168840864
2024-11-05 00:00:00+00:00,731081.178808204
2024-11-06 00:00:00+00:00,699543.086618586
2024-11-07 00:00:00+00:00,700355.9849669329
2024-11-08 00:00:00+00:00,698258.6119811732
2024-11-09 00:00:00+00:00,699118.432193136
2024-11-10 00:00:00+00:00,684635.5697944604
2024-11-11 00:00:00+00:00,649624.7544355814
2024-11-12 00:00:00+00:00,652656.1072737253
2024-11-13 00:00:00+00:00,641652.8799475565
2024-11-14 00:00:00+00:00,656382.4997040548
2024-11-15 00:00:00+00:00,639199.0217987227
2024-11-16 00:00:00+00:00,641781.4574066066
2024-11-17 00:00:00+00:00,645381.9395661781
2024-11-18 00:00:00+00:00,642068.0538528588
2024-11-19 00:00:00+00:00,633332.2353660197
2024-11-20 00:00:00+00:00,623897.2976508801
2024-11-21 00:00:00+00:00,604389.7984818935
2024-11-22 00:00:00+00:00,601761.0548164081
2024-11-23 00:00:00+00:00,607606.1514881037
2024-11-24 00:00:00+00:00,606377.3455396484
2024-11-25 00:00:00+00:00,630389.5810120157
2024-11-26 00:00:00+00:00,635526.455163895
2024-11-27 00:00:00+00:00,616295.36008961
2024-11-28 00:00:00+00:00,617683.0332528956
2024-11-29 00:00:00+00:00,608896.0097155343
2024-11-30 00:00:00+00:00,608896.0097155343
2024-12-01 00:00:00+00:00,608896.0097155343
2024-12-02 00:00:00+00:00,608395.5850288814
2024-12-03 00:00:00+00:00,609821.9631852887
2024-12-04 00:00:00+00:00,610091.3947981197
2024-12-05 00:00:00+00:00,607470.2076261275
2024-12-06 00:00:00+00:00,609238.0498009888
2024-12-07 00:00:00+00:00,611604.6131063971
2024-12-08 00:00:00+00:00,610750.455868952
2024-12-09 00:00:00+00:00,613309.4889755382
2024-12-10 00:00:00+00:00,614694.0929926333
2024-12-11 00:00:00+00:00,611521.561016781
2024-12-12 00:00:00+00:00,614238.9984890035
2024-12-13 00:00:00+00:00,615151.554022159
2024-12-14 00:00:00+00:00,617267.6642613668
2024-12-15 00:00:00+00:00,611583.7823423124
2024-12-16 00:00:00+00:00,607980.5761261095
2024-12-17 00:00:00+00:00,610034.1488342137
2024-12-18 00:00:00+00:00,622526.9733963435
2024-12-19 00:00:00+00:00,624749.576835964
2024-12-20 00:00:00+00:00,625159.5944039023
2024-12-21 00:00:00+00:00,629138.6944142632
2024-12-22 00:00:00+00:00,628407.7360475189
2024-12-23 00:00:00+00:00,629521.8349495889
2024-12-24 00:00:00+00:00,631997.7397171148
2024-12-25 00:00:00+00:00,633371.3673311702
2024-12-26 00:00:00+00:00,637237.4171911944
2024-12-27 00:00:00+00:00,636615.5901921723
2024-12-28 00:00:00+00:00,636615.5901921723
2024-12-29 00:00:00+00:00,636615.5901921723
2024-12-30 00:00:00+00:00,636615.5901921723
2024-12-31 00:00:00+00:00,636615.5901921723
2025-01-01 00:00:00+00:00,636615.5901921723
2025-01-02 00:00:00+00:00,636615.5901921723
2025-01-03 00:00:00+00:00,636859.4659367417
2025-01-04 00:00:00+00:00,637474.0524660769
2025-01-05 00:00:00+00:00,637749.6568409528
2025-01-06 00:00:00+00:00,632759.5986210345
2025-01-07 00:00:00+00:00,641656.8810423936
2025-01-08 00:00:00+00:00,643439.3966106584
2025-01-09 00:00:00+00:00,645087.1744691071
2025-01-10 00:00:00+00:00,645447.3172104629
2025-01-11 00:00:00+00:00,647207.1490317562
2025-01-12 00:00:00+00:00,646128.876437176
2025-01-13 00:00:00+00:00,646656.572808387
2025-01-14 00:00:00+00:00,645025.8584918964
2025-01-15 00:00:00+00:00,641060.8001987621
2025-01-16 00:00:00+00:00,641944.1037981
2025-01-17 00:00:00+00:00,633993.8044449984
2025-01-18 00:00:00+00:00,632835.3471150035
2025-01-19 00:00:00+00:00,639166.7532463316
2025-01-20 00:00:00+00:00,637137.8875590605
2025-01-21 00:00:00+00:00,630878.8780627148
2025-01-22 00:00:00+00:00,639345.8238354145
2025-01-23 00:00:00+00:00,638977.5119535635
2025-01-24 00:00:00+00:00,637810.509606116
2025-01-25 00:00:00+00:00,638872.8775071795
2025-01-26 00:00:00+00:00,645630.8173387421
2025-01-27 00:00:00+00:00,647373.7599612231
2025-01-28 00:00:00+00:00,650929.1081559855
2025-01-29 00:00:00+00:00,643201.5260831623
2025-01-30 00:00:00+00:00,639668.2929673172
2025-01-31 00:00:00+00:00,647960.601111372
2025-02-01 00:00:00+00:00,647960.601111372
2025-02-02 00:00:00+00:00,646442.3636204754
2025-02-03 00:00:00+00:00,646640.5111848479
2025-02-04 00:00:00+00:00,648501.2054315801
2025-02-05 00:00:00+00:00,649574.0518346536
2025-02-06 00:00:00+00:00,650180.5690587842
2025-02-07 00:00:00+00:00,652039.1905182833
2025-02-08 00:00:00+00:00,653068.8246968309
2025-02-09 00:00:00+00:00,653307.7968929863
2025-02-10 00:00:00+00:00,655657.9872976122
2025-02-11 00:00:00+00:00,654225.3998117673
2025-02-12 00:00:00+00:00,658547.2915655772
2025-02-13 00:00:00+00:00,658051.8519412458
2025-02-14 00:00:00+00:00,661295.9630719101
2025-02-15 00:00:00+00:00,662850.8227755581
2025-02-16 00:00:00+00:00,659851.4991096919
2025-02-17 00:00:00+00:00,659253.5507172021
2025-02-18 00:00:00+00:00,659233.247009965
2025-02-19 00:00:00+00:00,663038.9486725166
