date,stablecoin_mcap
2019-02-02,656405523.0
2019-02-03,654566639.0
2019-02-04,654848641.0
2019-02-05,643315124.0
2019-02-06,642871918.0
2019-02-07,640843963.0
2019-02-08,627132420.0
2019-02-09,611597009.0
2019-02-10,611475070.0
2019-02-11,610173405.0
2019-02-12,610558760.0
2019-02-13,609291859.0
2019-02-14,593576990.0
2019-02-15,594209465.0
2019-02-16,593853460.0
2019-02-17,593390804.0
2019-02-18,592819777.0
2019-02-19,591365386.0
2019-02-20,592981187.0
2019-02-21,592856781.0
2019-02-22,575529413.0
2019-02-23,607983505.0
2019-02-24,607429187.0
2019-02-25,606147704.0
2019-02-26,604917530.0
2019-02-27,607194119.0
2019-02-28,608018395.0
2019-03-01,604631800.0
2019-03-02,609457831.0
2019-03-03,614875880.0
2019-03-04,614066103.0
2019-03-05,617503191.0
2019-03-06,617183684.0
2019-03-07,616311266.0
2019-03-08,605705037.0
2019-03-09,611676177.0
2019-03-10,612117513.0
2019-03-11,612152961.0
2019-03-12,615786107.0
2019-03-13,617293944.0
2019-03-14,616581546.0
2019-03-15,617405906.0
2019-03-16,616504073.0
2019-03-17,616440390.0
2019-03-18,615168972.0
2019-03-19,619934631.0
2019-03-20,620783471.0
2019-03-21,620504007.0
2019-03-22,626348097.0
2019-03-23,627092805.0
2019-03-24,627265746.0
2019-03-25,627372647.0
2019-03-26,627569909.0
2019-03-27,626551023.0
2019-03-28,626906132.0
2019-03-29,624022441.0
2019-03-30,623555382.0
2019-03-31,623329180.0
2019-04-01,624879301.0
2019-04-02,626365738.0
2019-04-03,629623776.0
2019-04-04,629220955.0
2019-04-05,628933457.0
2019-04-06,630486890.0
2019-04-07,630698261.0
2019-04-08,630813921.0
2019-04-09,650072928.0
2019-04-10,666931817.0
2019-04-11,705608292.0
2019-04-12,709478062.0
2019-04-13,728760160.0
2019-04-14,724085121.0
2019-04-15,726583178.0
2019-04-16,745335594.0
2019-04-17,751906981.0
2019-04-18,805597016.0
2019-04-19,805350312.0
2019-04-20,816170941.0
2019-04-21,810791842.0
2019-04-22,823381930.0
2019-04-23,820431880.0
2019-04-24,885025412.0
2019-04-25,937207494.0
2019-04-26,993315656.0
2019-04-27,1004584996.0
2019-04-28,1043037039.0
2019-04-29,1045269038.0
2019-04-30,1065014749.0
2019-05-01,1074402138.0
2019-05-02,1083256383.0
2019-05-03,1094832692.0
2019-05-04,1108522300.0
2019-05-05,1114859896.0
2019-05-06,1118149291.0
2019-05-07,1124471295.0
2019-05-08,1128582140.0
2019-05-09,1137964062.0
2019-05-10,1079104013.0
2019-05-11,1091691954.0
2019-05-12,1092385725.0
2019-05-13,1094836871.0
2019-05-14,1116617023.0
2019-05-15,1114402458.0
2019-05-16,1124597074.0
2019-05-17,1131070008.0
2019-05-18,1134055734.0
2019-05-19,1137344847.0
2019-05-20,1141824590.0
2019-05-21,1161582545.0
2019-05-22,1187050787.0
2019-05-23,1202639553.0
2019-05-24,1219342854.0
2019-05-25,1260098111.0
2019-05-26,1279466775.0
2019-05-27,1289093842.0
2019-05-28,1295258842.0
2019-05-29,1306525492.0
2019-05-30,1330388464.0
2019-05-31,1302219330.0
2019-06-01,1316565784.0
2019-06-02,1320111780.0
2019-06-03,1319957173.0
2019-06-04,1328807069.0
2019-06-05,1340032591.0
2019-06-06,1369262153.0
2019-06-07,1400091041.0
2019-06-08,1414345017.0
2019-06-09,1414342544.0
2019-06-10,1416353656.0
2019-06-11,1455628105.0
2019-06-12,1487476353.0
2019-06-13,1532681290.0
2019-06-14,1553258375.0
2019-06-15,1574353049.0
2019-06-16,1585454750.0
2019-06-17,1607180551.0
2019-06-18,1629312264.0
2019-06-19,1635358837.0
2019-06-20,1632059716.0
2019-06-21,1647621759.0
2019-06-22,1660454764.0
2019-06-23,1661740777.0
2019-06-24,1676241608.0
2019-06-25,1666845035.0
2019-06-26,1684973417.0
2019-06-27,1685552007.0
2019-06-28,1705236168.0
2019-06-29,1736888606.0
2019-06-30,1766831762.0
2019-07-01,1766659769.0
2019-07-02,1786939453.0
2019-07-03,1806539915.0
2019-07-04,1863841156.0
2019-07-05,1899685625.0
2019-07-06,1950307325.0
2019-07-07,1968012844.0
2019-07-08,1977795201.0
2019-07-09,2034665676.0
2019-07-10,2069383596.0
2019-07-11,2072119461.0
2019-07-12,2113854593.0
2019-07-13,2206512996.0
2019-07-14,2214044635.0
2019-07-15,2219216423.0
2019-07-16,2246616182.0
2019-07-17,2283251496.0
2019-07-18,2329551684.0
2019-07-19,2364681802.0
2019-07-20,2323711618.0
2019-07-21,2324991117.0
2019-07-22,2333186277.0
2019-07-23,2338759545.0
2019-07-24,2336108179.0
2019-07-25,2357159682.0
2019-07-26,2363643120.0
2019-07-27,2363134240.0
2019-07-28,2372507685.0
2019-07-29,2378024208.0
2019-07-30,2406231589.0
2019-07-31,2410754774.0
2019-08-01,2419958837.0
2019-08-02,2417490079.0
2019-08-03,2401420673.0
2019-08-04,2410391794.0
2019-08-05,2418436211.0
2019-08-06,2497816143.0
2019-08-07,2497413191.0
2019-08-08,2489193613.0
2019-08-09,2481193249.0
2019-08-10,2457383265.0
2019-08-11,2461545925.0
2019-08-12,2467056340.0
2019-08-13,2461275948.0
2019-08-14,2444576386.0
2019-08-15,2446072128.0
2019-08-16,2437135234.0
2019-08-17,2445238089.0
2019-08-18,2445015653.0
2019-08-19,2445847972.0
2019-08-20,2449533081.0
2019-08-21,2444419632.0
2019-08-22,2466833723.0
2019-08-23,2468871948.0
2019-08-24,2476648055.0
