Date,GLD,SPY,TLT,UUP
2020-08-18,188.17999267578125,311.8583679199219,137.54161071777344,21.49217414855957
2020-08-19,182.24000549316406,310.55987548828125,136.68170166015625,21.664594650268555
2020-08-20,183.5,311.5269470214844,137.91726684570312,21.604248046875
2020-08-21,182.02999877929688,312.6319580078125,138.74371337890625,21.707698822021484
2020-08-24,181.0,315.79986572265625,138.51824951171875,21.742183685302734
2020-08-25,181.22000122070312,316.9049377441406,137.4580535888672,21.664594650268555
2020-08-26,183.36000061035156,320.0821228027344,136.9321746826172,21.63873291015625
2020-08-27,181.24000549316406,320.7820739746094,134.6031036376953,21.664594650268555
2020-08-28,184.38999938964844,322.8540344238281,134.5028839111328,21.49217414855957
2020-08-31,184.8300018310547,321.6845397949219,135.39617919921875,21.466310501098633
2020-09-01,185.0500030517578,324.71435546875,136.9447479248047,21.509416580200195
2020-09-02,182.6199951171875,329.4110412597656,138.2484893798828,21.587005615234375
2020-09-03,181.13999938964844,318.0745544433594,138.6414337158203,21.595624923706055
2020-09-04,181.63999938964844,315.4775085449219,136.0087432861328,21.630109786987305
2020-09-08,181.2899932861328,306.8577575683594,136.84449768066406,21.742183685302734
2020-09-09,183.0500030517578,312.91741943359375,136.4767608642578,21.707698822021484
2020-09-10,182.4600067138672,307.4840393066406,137.1704559326172,21.750802993774414
